Pickup Area,Dropoff Area,Pickup Governorate,Dropoff Governorate,Pickup Time,Day of Week,Hour of Day,Trip Duration (min),Trip Distance (km),Fare per km (EGP),Fare (EGP),Service Type,Payment Method,Driver Rating
Heliopolis,Mohandessin,Cairo,Giza,2024-06-06 01:04:00,Thursday,1,13.28,8.29,3.367480667604785,27.92,Uber Scooter,Credit Card,4.6
Dokki,Maadi,Giza,Cairo,2024-06-25 15:16:00,Tuesday,15,19.28,9.49,5.270071800448819,50.01,Uber Scooter,Cash,4.3
Fifth Settlement,Ain Shams,Cairo,Cairo,2024-06-18 10:15:00,Tuesday,10,22.9,14.38,5.450156880530189,78.37,Uber Comfort,Credit Card,4.8
Ain Shams,Shubra,Cairo,Cairo,2024-06-19 03:12:00,Wednesday,3,22.03,12.11,3.656772353630181,44.28,UberX,Credit Card,4.8
Mohandessin,Dokki,Giza,Giza,2024-06-23 09:45:00,Sunday,9,47.66,18.74,4.58946005093842,86.01,Uber Bus,Wallet,4.7
Downtown,Fifth Settlement,Cairo,Cairo,2024-06-03 12:25:00,Monday,12,15.83,10.56,4.325449273659425,45.68,UberX,Wallet,4.2
Shubra,Rehab,Cairo,Cairo,2024-06-05 04:37:00,Wednesday,4,18.31,12.81,4.908767847492177,62.88,Uber Comfort,Wallet,4.8
Sheikh Zayed,Nasr City,Giza,Cairo,2024-06-10 10:36:00,Monday,10,12.5,9.34,3.5943346904923072,33.57,Uber Scooter,Wallet,4.8
Rehab,Zamalek,Cairo,Cairo,2024-06-04 09:46:00,Tuesday,9,36.17,14.5,3.782625051761312,54.85,Uber Scooter,Wallet,4.2
Sheikh Zayed,Obour,Giza,Qalyubia,2024-06-13 17:37:00,Thursday,17,26.21,15.39,4.325692350315939,66.57,Uber Comfort,Credit Card,4.2
Obour,Shorouk,Qalyubia,Cairo,2024-06-10 11:48:00,Monday,11,25.93,17.36,3.8891090571672704,67.51,Uber Scooter,Cash,4.4
Dokki,Maadi,Giza,Cairo,2024-06-19 23:17:00,Wednesday,23,5.52,2.37,4.303190955991811,10.2,Uber Comfort,Wallet,3.9
Sheikh Zayed,Downtown,Giza,Cairo,2024-06-28 03:53:00,Friday,3,9.95,7.38,3.4386251203565497,25.38,Uber Bus,Cash,4.9
Fifth Settlement,Mohandessin,Cairo,Giza,2024-06-15 11:50:00,Saturday,11,9.03,5.82,3.551557809538343,20.67,Uber Comfort,Credit Card,3.8
Zamalek,Heliopolis,Cairo,Cairo,2024-06-22 17:56:00,Saturday,17,51.9,17.41,4.555723751947415,79.32,Uber Bus,Cash,4.3
Nasr City,10th of Ramadan,Cairo,Sharqia,2024-06-11 01:26:00,Tuesday,1,19.98,12.39,5.199112841700668,64.42,Uber Scooter,Wallet,4.1
Heliopolis,Haram,Cairo,Giza,2024-06-27 22:18:00,Thursday,22,38.73,27.95,3.1794119183845235,88.86,Uber Comfort,Wallet,5.0
Haram,Zamalek,Giza,Cairo,2024-06-16 06:52:00,Sunday,6,55.67,28.38,5.039164333118801,143.01,Uber Scooter,Credit Card,4.1
Nasr City,Sheikh Zayed,Cairo,Giza,2024-06-28 03:43:00,Friday,3,53.35,26.58,4.625348034190297,122.94,Uber Comfort,Wallet,4.9
Faisal,10th of Ramadan,Giza,Sharqia,2024-06-19 19:46:00,Wednesday,19,8.22,4.95,3.351610083575937,16.59,Uber Scooter,Wallet,3.6
10th of Ramadan,Obour,Sharqia,Qalyubia,2024-06-25 14:29:00,Tuesday,14,10.97,6.56,3.324283684598288,21.81,UberX,Cash,4.3
Heliopolis,Mohandessin,Cairo,Giza,2024-06-13 07:49:00,Thursday,7,34.21,21.58,3.3890296161997333,73.14,Uber Scooter,Credit Card,4.0
Nasr City,New Cairo,Cairo,Cairo,2024-06-10 15:07:00,Monday,15,31.0,18.32,4.444307753063329,81.42,Uber Scooter,Cash,4.0
10th of Ramadan,Shorouk,Sharqia,Cairo,2024-06-26 22:52:00,Wednesday,22,16.13,10.97,3.810225047183116,41.8,Uber Bus,Wallet,4.4
Maadi,10th of Ramadan,Cairo,Sharqia,2024-06-21 04:14:00,Friday,4,6.43,2.26,4.241858480066771,9.59,Uber Comfort,Cash,4.4
New Cairo,Ain Shams,Cairo,Cairo,2024-06-09 01:19:00,Sunday,1,16.5,9.97,4.810969840933352,47.97,UberX,Cash,4.0
Heliopolis,Sheikh Zayed,Cairo,Giza,2024-06-29 00:59:00,Saturday,0,13.97,10.02,3.843203650713493,38.51,Uber Scooter,Credit Card,4.6
Downtown,10th of Ramadan,Cairo,Sharqia,2024-06-25 19:32:00,Tuesday,19,2.88,2.0,3.5072234899700314,7.01,UberX,Cash,4.0
Heliopolis,New Cairo,Cairo,Cairo,2024-06-15 03:02:00,Saturday,3,4.12,2.08,4.1738928763014105,8.68,UberX,Cash,5.0
10th of Ramadan,New Cairo,Sharqia,Cairo,2024-06-02 14:29:00,Sunday,14,5.84,2.92,4.702015371870286,13.73,UberX,Cash,4.9
Rehab,Zamalek,Cairo,Cairo,2024-06-11 09:48:00,Tuesday,9,19.43,9.97,3.744638824232552,37.33,UberX,Wallet,4.6
Nasr City,Fifth Settlement,Cairo,Cairo,2024-06-03 01:39:00,Monday,1,51.05,28.98,4.755777533348138,137.82,UberX,Wallet,3.6
Sheikh Zayed,10th of Ramadan,Giza,Sharqia,2024-06-09 03:25:00,Sunday,3,14.97,9.8,4.816775111034104,47.2,Uber Comfort,Cash,4.3
Downtown,Haram,Cairo,Giza,2024-06-13 17:47:00,Thursday,17,76.4,28.82,3.627914591813988,104.56,Uber Comfort,Credit Card,4.0
Dokki,Haram,Giza,Giza,2024-06-22 20:32:00,Saturday,20,57.52,21.92,4.684837695442592,102.69,Uber Comfort,Credit Card,4.5
Shorouk,Shubra,Cairo,Cairo,2024-06-27 14:54:00,Thursday,14,34.35,11.96,4.493351298077181,53.74,Uber Comfort,Cash,4.5
Shorouk,6th October,Cairo,Giza,2024-06-10 04:28:00,Monday,4,28.0,17.98,3.543407315569827,63.71,Uber Bus,Credit Card,4.3
6th October,Dokki,Giza,Giza,2024-06-26 14:05:00,Wednesday,14,22.3,11.46,4.010496400114253,45.96,Uber Comfort,Credit Card,4.7
Haram,Rehab,Giza,Cairo,2024-06-04 13:22:00,Tuesday,13,28.65,11.53,3.782414646688407,43.61,Uber Comfort,Credit Card,4.6
Ain Shams,Nasr City,Cairo,Cairo,2024-06-13 18:39:00,Thursday,18,49.61,23.32,4.696865595670808,109.53,UberX,Wallet,4.8
Ain Shams,Dokki,Cairo,Giza,2024-06-05 16:16:00,Wednesday,16,8.59,4.02,4.139547691070089,16.64,Uber Scooter,Wallet,5.0
Shubra,Sheikh Zayed,Cairo,Giza,2024-06-01 19:54:00,Saturday,19,7.35,5.12,3.605859490067172,18.46,Uber Scooter,Cash,3.5
10th of Ramadan,Fifth Settlement,Sharqia,Cairo,2024-06-29 08:53:00,Saturday,8,35.09,19.12,5.15303011386233,98.53,Uber Scooter,Cash,3.7
Zamalek,Downtown,Cairo,Cairo,2024-06-28 14:09:00,Friday,14,60.01,29.21,5.136504407484123,150.04,Uber Comfort,Wallet,4.4
Shubra,Heliopolis,Cairo,Cairo,2024-06-29 03:06:00,Saturday,3,4.95,3.17,3.4785728763963832,11.03,UberX,Cash,4.8
Sheikh Zayed,Shorouk,Giza,Cairo,2024-06-29 01:33:00,Saturday,1,19.84,13.38,4.7510657223663095,63.57,UberX,Wallet,4.9
Shorouk,Zamalek,Cairo,Cairo,2024-06-07 07:01:00,Friday,7,38.9,23.4,4.70675984042037,110.14,Uber Comfort,Credit Card,3.5
Heliopolis,Shorouk,Cairo,Cairo,2024-06-08 09:19:00,Saturday,9,63.44,21.57,4.439249741819089,95.75,Uber Comfort,Cash,4.7
Obour,Shubra,Qalyubia,Cairo,2024-06-30 21:49:00,Sunday,21,40.98,17.37,4.000232105195642,69.48,UberX,Cash,4.1
Faisal,Rehab,Giza,Cairo,2024-06-28 13:21:00,Friday,13,42.08,27.55,3.996361525596155,110.1,Uber Comfort,Cash,3.6
Obour,Rehab,Qalyubia,Cairo,2024-06-14 20:32:00,Friday,20,40.48,28.41,3.01630763058147,85.69,Uber Bus,Credit Card,4.9
Shubra,New Cairo,Cairo,Cairo,2024-06-18 15:25:00,Tuesday,15,21.12,13.02,5.272578042077807,68.65,Uber Comfort,Wallet,4.8
New Cairo,Ain Shams,Cairo,Cairo,2024-06-17 12:41:00,Monday,12,31.1,14.0,3.405401874151784,47.68,Uber Scooter,Credit Card,3.6
Heliopolis,Ain Shams,Cairo,Cairo,2024-06-08 13:14:00,Saturday,13,69.1,26.3,4.09896360982397,107.8,Uber Scooter,Credit Card,4.8
Haram,Shorouk,Giza,Cairo,2024-06-13 10:40:00,Thursday,10,18.53,7.14,4.875704685436956,34.81,Uber Scooter,Credit Card,4.5
Faisal,Nasr City,Giza,Cairo,2024-06-02 14:31:00,Sunday,14,18.8,10.32,4.009351412714381,41.38,Uber Scooter,Credit Card,3.6
Mohandessin,Fifth Settlement,Giza,Cairo,2024-06-21 17:28:00,Friday,17,42.02,18.91,4.263098398116504,80.62,Uber Bus,Credit Card,4.5
Fifth Settlement,Faisal,Cairo,Giza,2024-06-09 14:57:00,Sunday,14,57.43,26.55,3.277001416561395,87.0,UberX,Wallet,3.9
Ain Shams,Downtown,Cairo,Cairo,2024-06-13 04:40:00,Thursday,4,25.68,9.48,4.781211327264538,45.33,UberX,Credit Card,3.5
Dokki,Zamalek,Giza,Cairo,2024-06-19 16:59:00,Wednesday,16,13.99,7.55,3.4453990270159096,26.01,Uber Bus,Cash,3.7
Nasr City,Mohandessin,Cairo,Giza,2024-06-14 12:07:00,Friday,12,11.16,5.02,4.012046935263849,20.14,UberX,Wallet,4.4
Maadi,Downtown,Cairo,Cairo,2024-06-17 08:12:00,Monday,8,31.41,23.36,3.791203718284615,88.56,UberX,Wallet,4.6
Dokki,Faisal,Giza,Giza,2024-06-26 13:26:00,Wednesday,13,13.74,6.77,3.8453141360373833,26.03,Uber Bus,Credit Card,4.6
New Cairo,Shubra,Cairo,Cairo,2024-06-06 09:20:00,Thursday,9,40.19,28.39,4.403767243936442,125.02,UberX,Wallet,4.8
Mohandessin,Heliopolis,Giza,Cairo,2024-06-04 16:41:00,Tuesday,16,8.73,6.45,3.495875590670733,22.55,Uber Comfort,Cash,4.1
6th October,10th of Ramadan,Giza,Sharqia,2024-06-22 17:42:00,Saturday,17,29.7,21.93,4.923546552227254,107.97,Uber Comfort,Wallet,4.3
6th October,Ain Shams,Giza,Cairo,2024-06-12 19:37:00,Wednesday,19,11.6,4.11,5.364231662400831,22.05,Uber Bus,Wallet,4.2
Dokki,Shubra,Giza,Cairo,2024-06-19 02:26:00,Wednesday,2,10.94,6.41,4.305490249568981,27.6,UberX,Cash,3.8
Rehab,Nasr City,Cairo,Cairo,2024-06-25 08:09:00,Tuesday,8,26.66,11.93,3.6555306522746736,43.61,Uber Scooter,Wallet,3.9
Mohandessin,Zamalek,Giza,Cairo,2024-06-11 17:14:00,Tuesday,17,34.18,16.23,5.12288863207788,83.14,Uber Scooter,Wallet,4.0
Zamalek,Shubra,Cairo,Cairo,2024-06-03 06:50:00,Monday,6,24.42,14.23,5.3107813033907565,75.57,Uber Bus,Credit Card,4.8
Shubra,Faisal,Cairo,Giza,2024-06-13 10:23:00,Thursday,10,11.74,6.81,4.153100129030924,28.28,Uber Scooter,Wallet,4.5
Shubra,Haram,Cairo,Giza,2024-06-04 21:11:00,Tuesday,21,50.07,24.69,3.799469732122605,93.81,UberX,Credit Card,4.4
Fifth Settlement,Shorouk,Cairo,Cairo,2024-06-27 15:40:00,Thursday,15,21.54,8.97,5.010140140073541,44.94,UberX,Cash,4.7
Dokki,Shorouk,Giza,Cairo,2024-06-10 07:46:00,Monday,7,38.29,27.64,4.759778761216678,131.56,Uber Bus,Cash,4.5
Fifth Settlement,Nasr City,Cairo,Cairo,2024-06-27 03:03:00,Thursday,3,13.36,5.95,4.202857908037595,25.01,Uber Bus,Credit Card,4.6
Rehab,Shubra,Cairo,Cairo,2024-06-05 11:09:00,Wednesday,11,18.1,9.01,4.701448900848212,42.36,UberX,Cash,3.7
Ain Shams,Zamalek,Cairo,Cairo,2024-06-28 19:04:00,Friday,19,34.55,13.86,4.304142885610878,59.66,UberX,Credit Card,5.0
Dokki,6th October,Giza,Giza,2024-06-13 07:12:00,Thursday,7,17.82,11.01,3.034473242339548,33.41,UberX,Cash,4.5
Obour,Faisal,Qalyubia,Giza,2024-06-13 22:40:00,Thursday,22,17.54,10.46,3.125848723135128,32.7,UberX,Cash,4.3
Fifth Settlement,Maadi,Cairo,Cairo,2024-06-15 05:14:00,Saturday,5,44.69,21.7,5.027629677093888,109.1,Uber Bus,Cash,4.2
Shorouk,Maadi,Cairo,Cairo,2024-06-30 14:55:00,Sunday,14,17.83,9.19,3.2342620410979994,29.72,Uber Bus,Credit Card,4.4
New Cairo,Shorouk,Cairo,Cairo,2024-06-13 12:13:00,Thursday,12,46.14,28.4,4.685237291180947,133.06,Uber Bus,Cash,4.2
Maadi,Downtown,Cairo,Cairo,2024-06-29 22:21:00,Saturday,22,24.88,14.22,3.674369318689947,52.25,Uber Comfort,Credit Card,3.8
Heliopolis,Dokki,Cairo,Giza,2024-06-13 13:53:00,Thursday,13,37.86,22.15,4.333136201111613,95.98,Uber Scooter,Credit Card,4.4
Shorouk,Rehab,Cairo,Cairo,2024-06-05 18:05:00,Wednesday,18,26.75,14.67,4.097001839178415,60.1,UberX,Cash,3.6
Zamalek,Nasr City,Cairo,Cairo,2024-06-22 09:13:00,Saturday,9,41.93,29.14,4.908206183673869,143.03,Uber Comfort,Cash,4.9
Zamalek,Ain Shams,Cairo,Cairo,2024-06-03 15:33:00,Monday,15,21.73,15.16,4.683823438147121,71.01,Uber Bus,Wallet,3.7
Rehab,Shubra,Cairo,Cairo,2024-06-09 05:56:00,Sunday,5,28.42,19.7,5.159120585059115,101.63,Uber Bus,Credit Card,3.7
Sheikh Zayed,New Cairo,Giza,Cairo,2024-06-23 02:19:00,Sunday,2,19.17,10.19,5.197700236453541,52.96,Uber Bus,Credit Card,4.7
Fifth Settlement,Downtown,Cairo,Cairo,2024-06-17 10:13:00,Monday,10,39.09,13.21,3.675872204425215,48.56,Uber Scooter,Credit Card,4.8
Nasr City,New Cairo,Cairo,Cairo,2024-06-05 16:18:00,Wednesday,16,6.33,3.21,5.005177230917706,16.07,Uber Scooter,Wallet,4.3
10th of Ramadan,Fifth Settlement,Sharqia,Cairo,2024-06-11 10:47:00,Tuesday,10,20.66,13.24,4.582137468551697,60.67,UberX,Credit Card,4.8
10th of Ramadan,Mohandessin,Sharqia,Giza,2024-06-22 08:35:00,Saturday,8,29.93,20.75,4.191068906809869,86.96,Uber Scooter,Credit Card,4.4
6th October,Faisal,Giza,Giza,2024-06-04 10:20:00,Tuesday,10,15.3,11.17,3.761078835803642,42.01,Uber Comfort,Wallet,5.0
6th October,Dokki,Giza,Giza,2024-06-24 18:09:00,Monday,18,46.02,20.91,4.92918107594973,103.07,UberX,Wallet,4.7
10th of Ramadan,New Cairo,Sharqia,Cairo,2024-06-04 21:33:00,Tuesday,21,37.25,26.98,3.788544855540427,102.21,Uber Comfort,Wallet,3.7
Sheikh Zayed,Zamalek,Giza,Cairo,2024-06-19 10:18:00,Wednesday,10,13.02,7.72,5.329379268771646,41.14,Uber Comfort,Cash,4.0
Ain Shams,Nasr City,Cairo,Cairo,2024-06-15 05:29:00,Saturday,5,44.01,27.21,3.2054916556230038,87.22,Uber Comfort,Wallet,4.1
Mohandessin,Ain Shams,Giza,Cairo,2024-06-26 18:27:00,Wednesday,18,15.95,11.78,5.378457533168531,63.36,Uber Comfort,Cash,4.3
10th of Ramadan,New Cairo,Sharqia,Cairo,2024-06-30 09:53:00,Sunday,9,25.22,12.14,4.358184831535204,52.91,Uber Comfort,Cash,4.5
Shubra,Fifth Settlement,Cairo,Cairo,2024-06-09 19:22:00,Sunday,19,16.45,11.93,5.14920171223825,61.43,UberX,Credit Card,4.8
Heliopolis,Rehab,Cairo,Cairo,2024-06-27 04:56:00,Thursday,4,35.2,25.17,3.671949147789348,92.42,UberX,Credit Card,4.7
Mohandessin,Faisal,Giza,Giza,2024-06-06 05:50:00,Thursday,5,23.78,16.95,5.235227766890528,88.74,Uber Scooter,Cash,4.9
Sheikh Zayed,Dokki,Giza,Giza,2024-06-02 01:38:00,Sunday,1,13.76,8.54,4.399950436701195,37.58,Uber Scooter,Wallet,3.9
10th of Ramadan,Faisal,Sharqia,Giza,2024-06-16 18:13:00,Sunday,18,9.71,6.73,5.111069353010604,34.4,Uber Scooter,Cash,4.6
10th of Ramadan,New Cairo,Sharqia,Cairo,2024-06-16 01:52:00,Sunday,1,49.32,22.83,4.5788590167916094,104.54,Uber Scooter,Wallet,3.9
Maadi,Mohandessin,Cairo,Giza,2024-06-20 06:13:00,Thursday,6,3.81,2.83,5.454232662468625,15.44,Uber Bus,Credit Card,4.4
10th of Ramadan,Shorouk,Sharqia,Cairo,2024-06-02 04:43:00,Sunday,4,35.08,12.53,3.359306561993659,42.09,Uber Scooter,Credit Card,4.6
Rehab,Haram,Cairo,Giza,2024-06-13 02:42:00,Thursday,2,17.71,12.81,5.123992725651666,65.64,Uber Comfort,Cash,4.5
Fifth Settlement,Mohandessin,Cairo,Giza,2024-06-17 16:04:00,Monday,16,7.26,4.98,3.862351519707324,19.23,Uber Scooter,Wallet,4.4
Maadi,Rehab,Cairo,Cairo,2024-06-07 23:41:00,Friday,23,8.31,3.03,5.327301399955971,16.14,UberX,Credit Card,4.1
6th October,New Cairo,Giza,Cairo,2024-06-12 12:21:00,Wednesday,12,13.37,8.02,4.34879210726722,34.88,Uber Bus,Cash,5.0
Shubra,Downtown,Cairo,Cairo,2024-06-12 05:31:00,Wednesday,5,50.54,23.81,3.177992425600921,75.67,Uber Comfort,Credit Card,4.6
Zamalek,Faisal,Cairo,Giza,2024-06-22 09:39:00,Saturday,9,24.79,12.18,4.839101357119164,58.94,UberX,Credit Card,4.6
Fifth Settlement,Mohandessin,Cairo,Giza,2024-06-18 10:22:00,Tuesday,10,25.82,17.96,3.0484068052766573,54.75,UberX,Cash,4.4
Fifth Settlement,10th of Ramadan,Cairo,Sharqia,2024-06-12 20:46:00,Wednesday,20,78.77,28.17,5.34626895010069,150.6,UberX,Wallet,3.8
6th October,Zamalek,Giza,Cairo,2024-06-20 16:45:00,Thursday,16,40.08,27.21,3.303027303649808,89.88,UberX,Cash,4.3
Shubra,Shorouk,Cairo,Cairo,2024-06-15 20:27:00,Saturday,20,51.33,23.75,5.115826622308246,121.5,Uber Bus,Credit Card,4.6
Fifth Settlement,Ain Shams,Cairo,Cairo,2024-06-23 18:53:00,Sunday,18,14.04,6.26,3.104610261661384,19.43,Uber Scooter,Wallet,3.6
Maadi,Mohandessin,Cairo,Giza,2024-06-16 10:45:00,Sunday,10,11.47,7.36,4.908687195935376,36.13,Uber Comfort,Wallet,4.4
Zamalek,Fifth Settlement,Cairo,Cairo,2024-06-21 12:54:00,Friday,12,76.21,29.13,3.5454600108455328,103.28,Uber Bus,Credit Card,4.1
6th October,Shubra,Giza,Cairo,2024-06-20 17:29:00,Thursday,17,47.66,28.16,3.109331331736321,87.56,Uber Scooter,Credit Card,3.9
Mohandessin,Heliopolis,Giza,Cairo,2024-06-09 01:30:00,Sunday,1,19.54,11.88,4.839210765601367,57.49,UberX,Cash,4.1
Faisal,10th of Ramadan,Giza,Sharqia,2024-06-05 07:44:00,Wednesday,7,33.61,22.32,4.6684990207694685,104.2,Uber Bus,Cash,3.7
Heliopolis,Haram,Cairo,Giza,2024-06-03 02:02:00,Monday,2,5.93,3.81,4.777769246031655,18.2,UberX,Wallet,3.7
Heliopolis,Faisal,Cairo,Giza,2024-06-16 10:17:00,Sunday,10,67.38,29.51,3.860386133977512,113.92,UberX,Cash,4.4
10th of Ramadan,Nasr City,Sharqia,Cairo,2024-06-06 07:23:00,Thursday,7,33.86,22.46,4.378646676277942,98.34,Uber Scooter,Wallet,4.9
Downtown,Fifth Settlement,Cairo,Cairo,2024-06-11 08:12:00,Tuesday,8,32.13,21.71,4.885682250507919,106.07,UberX,Cash,4.1
Ain Shams,Rehab,Cairo,Cairo,2024-06-18 20:03:00,Tuesday,20,39.79,15.03,3.5436915108357123,53.26,UberX,Credit Card,4.3
Heliopolis,Mohandessin,Cairo,Giza,2024-06-27 14:35:00,Thursday,14,41.38,28.43,4.188577445292175,119.08,Uber Comfort,Credit Card,4.7
Haram,Dokki,Giza,Giza,2024-06-29 16:13:00,Saturday,16,26.17,17.12,3.8515355852289703,65.94,Uber Bus,Wallet,4.2
Faisal,Dokki,Giza,Giza,2024-06-02 18:40:00,Sunday,18,27.22,13.69,4.672854408406384,63.97,Uber Scooter,Cash,4.4
Obour,New Cairo,Qalyubia,Cairo,2024-06-25 06:57:00,Tuesday,6,42.81,20.3,5.03348570719581,102.18,Uber Bus,Credit Card,3.8
Shubra,Sheikh Zayed,Cairo,Giza,2024-06-24 08:52:00,Monday,8,48.84,22.19,3.739393353381304,82.98,UberX,Credit Card,4.3
Shorouk,6th October,Cairo,Giza,2024-06-21 05:03:00,Friday,5,21.13,13.33,4.205503602111004,56.06,Uber Bus,Credit Card,4.4
Downtown,Obour,Cairo,Qalyubia,2024-06-09 06:30:00,Sunday,6,7.44,4.58,4.151186061272127,19.01,Uber Scooter,Cash,3.7
Dokki,Haram,Giza,Giza,2024-06-20 19:36:00,Thursday,19,59.99,25.63,3.0184237993187084,77.36,Uber Comfort,Credit Card,4.0
Rehab,Dokki,Cairo,Giza,2024-06-07 00:40:00,Friday,0,44.31,26.41,5.030075596296548,132.84,UberX,Wallet,4.6
Mohandessin,Heliopolis,Giza,Cairo,2024-06-19 20:18:00,Wednesday,20,21.5,15.64,5.0292873638302815,78.66,Uber Comfort,Cash,3.5
10th of Ramadan,New Cairo,Sharqia,Cairo,2024-06-13 23:57:00,Thursday,23,36.12,24.14,4.759188342767443,114.89,Uber Scooter,Credit Card,3.9
6th October,Haram,Giza,Giza,2024-06-15 12:16:00,Saturday,12,27.5,19.66,4.234969495859806,83.26,Uber Bus,Wallet,4.4
Shorouk,Maadi,Cairo,Cairo,2024-06-04 18:32:00,Tuesday,18,69.46,26.43,5.384740104904333,142.32,Uber Comfort,Wallet,3.9
Haram,Nasr City,Giza,Cairo,2024-06-26 18:57:00,Wednesday,18,31.16,16.03,4.445789555825281,71.27,Uber Comfort,Credit Card,5.0
Faisal,Maadi,Giza,Cairo,2024-06-05 05:21:00,Wednesday,5,71.53,27.34,3.955298881084412,108.14,Uber Comfort,Wallet,4.2
Dokki,Ain Shams,Giza,Cairo,2024-06-02 05:14:00,Sunday,5,14.78,10.78,3.2243029460672283,34.76,Uber Scooter,Credit Card,4.9
Faisal,Rehab,Giza,Cairo,2024-06-15 22:50:00,Saturday,22,39.25,26.37,4.5613097761057375,120.28,Uber Comfort,Cash,3.7
Maadi,Obour,Cairo,Qalyubia,2024-06-07 17:58:00,Friday,17,36.65,26.64,3.2969804820300928,87.83,UberX,Cash,4.1
Faisal,Ain Shams,Giza,Cairo,2024-06-07 20:55:00,Friday,20,10.26,5.07,3.5823120679906437,18.16,Uber Comfort,Wallet,4.3
10th of Ramadan,Obour,Sharqia,Qalyubia,2024-06-02 13:35:00,Sunday,13,30.02,17.72,3.4363102076782988,60.89,Uber Bus,Wallet,3.6
Shorouk,Haram,Cairo,Giza,2024-06-23 16:26:00,Sunday,16,31.08,15.65,3.0920408473091165,48.39,Uber Scooter,Wallet,4.9
Mohandessin,10th of Ramadan,Giza,Sharqia,2024-06-10 18:53:00,Monday,18,5.64,4.19,4.888985491292615,20.48,Uber Comfort,Wallet,3.8
Haram,Ain Shams,Giza,Cairo,2024-06-09 23:08:00,Sunday,23,29.77,14.83,3.2767204915876134,48.59,UberX,Wallet,4.7
Faisal,Sheikh Zayed,Giza,Giza,2024-06-08 23:28:00,Saturday,23,26.99,11.47,3.4898853117086635,40.03,UberX,Wallet,4.2
New Cairo,Nasr City,Cairo,Cairo,2024-06-09 09:35:00,Sunday,9,12.82,9.24,3.2548359021276485,30.07,Uber Scooter,Wallet,4.1
Downtown,Maadi,Cairo,Cairo,2024-06-21 04:53:00,Friday,4,17.46,6.41,5.017510124719136,32.16,Uber Bus,Credit Card,4.1
Fifth Settlement,Nasr City,Cairo,Cairo,2024-06-20 10:01:00,Thursday,10,52.96,25.11,5.282015086861226,132.63,UberX,Credit Card,4.7
Maadi,Zamalek,Cairo,Cairo,2024-06-21 19:41:00,Friday,19,14.91,7.79,4.143428125953958,32.28,Uber Scooter,Wallet,4.3
Haram,Heliopolis,Giza,Cairo,2024-06-21 08:35:00,Friday,8,64.17,29.37,4.9878827946487725,146.49,Uber Comfort,Wallet,4.9
New Cairo,Haram,Cairo,Giza,2024-06-14 18:29:00,Friday,18,14.58,5.63,3.477048614001843,19.58,Uber Scooter,Wallet,4.7
Obour,Rehab,Qalyubia,Cairo,2024-06-11 20:22:00,Tuesday,20,47.59,28.08,5.074862688345968,142.5,Uber Bus,Wallet,4.4
Maadi,Haram,Cairo,Giza,2024-06-18 22:56:00,Tuesday,22,35.3,22.51,3.35000139202778,75.41,Uber Comfort,Wallet,4.8
Maadi,Obour,Cairo,Qalyubia,2024-06-10 01:11:00,Monday,1,40.16,16.25,3.0514416703723546,49.59,Uber Bus,Credit Card,4.7
Shubra,Heliopolis,Cairo,Cairo,2024-06-24 09:53:00,Monday,9,14.99,10.99,4.649287114677469,51.1,Uber Scooter,Credit Card,4.3
New Cairo,Zamalek,Cairo,Cairo,2024-06-21 18:45:00,Friday,18,11.13,7.45,4.748484245353444,35.38,Uber Bus,Wallet,4.8
Dokki,Haram,Giza,Giza,2024-06-25 11:07:00,Tuesday,11,10.76,7.76,5.436741914916462,42.19,Uber Scooter,Cash,4.3
Sheikh Zayed,Zamalek,Giza,Cairo,2024-06-25 03:46:00,Tuesday,3,3.44,2.55,3.5623731536596166,9.08,UberX,Credit Card,4.5
Rehab,New Cairo,Cairo,Cairo,2024-06-06 01:55:00,Thursday,1,59.56,25.88,3.4262777994899394,88.67,UberX,Credit Card,4.8
Ain Shams,Zamalek,Cairo,Cairo,2024-06-14 00:16:00,Friday,0,19.82,10.31,3.006442180257632,31.0,UberX,Credit Card,4.1
Zamalek,Mohandessin,Cairo,Giza,2024-06-24 03:34:00,Monday,3,33.65,14.83,3.9120701232786783,58.02,Uber Comfort,Cash,3.7
Dokki,Shubra,Giza,Cairo,2024-06-03 20:54:00,Monday,20,26.9,15.91,4.705064757527736,74.86,Uber Scooter,Wallet,4.5
Rehab,Haram,Cairo,Giza,2024-06-02 00:07:00,Sunday,0,24.28,8.87,5.3348139750920085,47.32,Uber Scooter,Credit Card,4.7
Downtown,Mohandessin,Cairo,Giza,2024-06-23 06:11:00,Sunday,6,43.06,15.05,4.420208253728257,66.52,Uber Scooter,Cash,4.4
Ain Shams,Rehab,Cairo,Cairo,2024-06-03 04:03:00,Monday,4,29.99,19.35,4.981423454189342,96.39,Uber Comfort,Wallet,3.9
Shorouk,Heliopolis,Cairo,Cairo,2024-06-21 20:14:00,Friday,20,56.97,19.46,4.111035321851701,80.0,Uber Scooter,Wallet,3.6
10th of Ramadan,Shorouk,Sharqia,Cairo,2024-06-09 20:27:00,Sunday,20,12.99,4.7,4.969215338278206,23.36,Uber Bus,Wallet,3.6
6th October,Ain Shams,Giza,Cairo,2024-06-20 14:17:00,Thursday,14,7.22,5.16,4.42443089813379,22.83,Uber Comfort,Credit Card,4.8
Fifth Settlement,New Cairo,Cairo,Cairo,2024-06-16 19:58:00,Sunday,19,18.41,11.54,5.133324665942284,59.24,UberX,Credit Card,4.1
